formula_id,formula_name_vi,formula_category,object,function,indications,usage,data_source
F060,Bổ âm nhuận tràng,Thuốc hàn hạ,"Các chứng nhiệt táo do âm hư nội nhiệt, sốt cao táo bón, phân khô, đại tiện khó","Bổ âm, sinh tân dịch, nhuận tràng","Âm hư, nội nhiệt gây ra táo bón",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 141"
F061,Tứ quân tử thang,Thuốc bổ khí,"Các chứng bệnh do khí hư sinh ra: mệt mỏi, tẹo cơ, chán ăn, đầy trướng bụng, hạ hãm (sa dạ dày, sa tử cung,...) đờm thấp trệ",Bổ khí,"Khí hư, mệt mỏi, chán ăn",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 141"
F062,Bổ trung ích khí thang,Thuốc bổ khí,"Các chứng bệnh do khí hư sinh ra: mệt mỏi, tẹo cơ, chán ăn, đầy trướng bụng, hạ hãm (sa dạ dày, sa tử cung,...) đờm thấp trệ",Bổ trung ích khi thang khi thăng dương khí,"Trung khí hư gây ra các chứng bệnh sa giáng: sa dạ dày, sa tử cung, sa trực tràng, thoát vị bẹn......",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 141"
F063,Tứ vật thang,Thuốc bổ huyết,"Các chứng bệnh do huyết hư gây ra: chóng mặt, hoa mắt, mệt mỏi, mất ngủ, hồi hộp, trí nhớ giảm","Bổ huyết, dưỡng âm","Huyết hư gây chóng mặt, hoa mắt, da xanh, mệt mỏi",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 142"
F064,Hà xa đại tạo hoàn,Thuốc bổ huyết,"Các chứng bệnh do huyết hư gây ra: chóng mặt, hoa mắt, mệt mỏi, mất ngủ, hồi hộp, trí nhớ giảm","Bổ huyết dưỡng âm, bổ can thận","Huyết hư, âm hư gây ra chứng hoa mắt, chóng mặt, gầy yếu, đau mỏi xương khớp, nhức xương, khó ngủ, hồi hộp",Chế hoàn mềm. Uống 20-30g mỗi ngày,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 142"
F065,Đương quy bổ huyết thang,Thuốc bổ huyết,"Các chứng bệnh do huyết hư gây ra: chóng mặt, hoa mắt, mệt mỏi, mất ngủ, hồi hộp, trí nhớ giảm",Ích khí sinh huyết,"Mất máu, phụ nữ đẻ mất máu",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 142"
F066,Bát trân thang,Thuốc bổ khí huyết,Người bị bệnh do khí huyết lưỡng hư,Bổ khí huyết,"Khí huyết hư gây nên gầy yếu, mệt mỏi, suy nhược cơ thể",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 143"
F067,Thập toàn đại bổ thang,Thuốc bổ khí huyết,Người bị bệnh do khí huyết lưỡng hư,"Bổ khí huyết, ôn dương","Khí huyết hư, hỏa suy, người mệt mỏi, gầy yếu suy nhược, chán ăn, sợ lạnh",,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 143"
F068,Lục vị địa hoàng thang,Thuốc bổ âm,"Các chứng bệnh do âm hư sinh ra như can thận âm hư, phế âm hư, tâm âm hư,.....",Bổ âm (bổ can thận âm),"Can thận âm hư gây ra nội nhiệt, đau mỏi lưng gối, di tinh","Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang
Chú ý: Người đang tiêu chảy không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 143"
F069,Đại bổ âm hoàn,Thuốc bổ âm,"Các chứng bệnh do âm hư sinh ra như can thận âm hư, phế âm hư, tâm âm hư,.....",Tư âm giáng hỏa,"Âm hư nội nhiệt, hỏa vượng đau đầu, nóng nhức xương, đau mỏi gối, đâu mỏi lưng",Chế hoàn. Uống mỗi ngày 20-40g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 143 - 144"
F070,Bát vị quế phụ,Thuốc bổ dương,"Các chứng bệnh do dương hư hỏa hư gây ra: mệt mỏi, choáng váng, đau nhức xương khớp mạn tính, di tinh, tiểu tiện nhiều, hen phế quản mạn tính","Bổ hỏa, bổ dương","Hỏa hư gây mệt mỏi, sợ lạnh, tiểu nhiều, âm thịnh cách dương","Sắc văn hỏa. Uống ấm, sau bữa ăn. Mỗi ngày 1 thang (chế hoàn ngày uống 20-40g)","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 144"
F071,Hữu quy ẩn,Thuốc bổ dương,"Các chứng bệnh do dương hư hỏa hư gây ra: mệt mỏi, choáng váng, đau nhức xương khớp mạn tính, di tinh, tiểu tiện nhiều, hen phế quản mạn tính",Ôn bổ thận dương,"Thận dương hư gây ra chứng đau mỏi nhức xương khớp, đau lưng, dương suy, chân hàn giả nhiệt",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 144"
F072,,Thuốc bổ dương,"Các chứng bệnh do dương hư hỏa hư gây ra: mệt mỏi, choáng váng, đau nhức xương khớp mạn tính, di tinh, tiểu tiện nhiều, hen phế quản mạn tính",Bổ thận dương trừ thấp,"Thận dương hư gây ra đau nhức xương, khớp mạn tính",,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 145"
F073,,Thuốc hòa giải,"Điều hòa cơ thể, điều hòa các tạng phủ của cơ thể",Hòa giải thiếu dương đởm,"Sốt lúc nóng, lúc rét (hàn nhiệt vàng lai)",Sắc văn hỏa. Uống nóng. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 145"
F074,Tiêu dao tán,Thuốc hòa giải,"Điều hòa cơ thể, điều hòa các tạng phủ của cơ thể","Hòa giải can tỳ (sơ can, kiện tỳ)","Sốt lúc nóng lúc rét, đau tức ngực sườn, rối loạn kinh nguyệt",Chế bột. Mỗi ngày uống 20-30g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 145"
F075,Bạch hổ thang,Thuốc thanh nhiệt tả hỏa,"Có chứng hỏa vượng, sốt cao","Thanh nhiệt tả hỏa, sinh tân chỉ khát","Sốt cao (sốt nóng , mồ hôi nhiều)","Sắc văn hỏa, uống nguội. Ngày dùng 1 thang.","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 122"
F076,Đạo đàm thang,Thuốc hóa đờm,"Các chứng bệnh do đởm gây ra (viêm phổi, viêm phế quản, đau thần kinh ngoại biên, hôn mê...)","Ôn hóa hàn đởm, hành khí, chỉ ho","Đởm hàn gây ra đầy trướng bụng, nôn, ho có nhiều đờm",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 125"
F077,Lãnh háo hoàn,Thuốc bình suyễn,Bệnh hen phế quản,Ôn phế bình suyễn hóa đờm chỉ ho,Hen phế quản (thể hàn-lãnh háo) ho có nhiều đờm thấp,Chế bột mỗi ngày uống 30-40g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 127"
F078,Tỳ giải phân thanh ấm,Thuốc lợi thấp (thẩm thấp lợi niệu),"Các chứng bệnh do thấp tà gây nên: phù nề, tê bì, hoặc sỏi tiết niệu, viêm tiết niệu","Ôn vị, hóa thấp trọc","Tiểu đục (dưỡng trấp), tiểu nhiều",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 135"
F079,Mẫu lệ tán,Thuốc liễm hãn,"Các bệnh mồ hôi ra nhiều (tự hãn), mồ hôi trộm (đạo hãn), mồ hôi lòng bàn tay, lòng bàn chân",Cố biểu liễm hãn,"Mồ hôi nhiều (tự hãn). Khí hư mệt mỏi, hoảng sợ",Chế bột. Ngày uống 20-30g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 139"
F080,Cố tinh hoàn,Thuốc cố tinh sáp niệu,"Các chứng bệnh tiểu tiện nhiều do thận dương hư, đái dầm, di tinh, phụ nữ bạch đới, khí hư, rong kinh, rong huyết",Bổ thận cố tinh sáp niệu,"Thận dương hư gây ra di tính, di niệu",Chế hoàn. Mỗi ngày uống 20-40g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 139"
F081,Tang phiêu tiêu tán,Thuốc cố tinh sáp niệu,"Các chứng bệnh tiểu tiện nhiều do thận dương hư, đái dầm, di tinh, phụ nữ bạch đới, khí hư, rong kinh, rong huyết","Dưỡng âm bổ thận, cố tinh sáp niệu","Tâm thận âm hư gây ra di tính, hoạt tính, tiểu nhiều lần, tiểu ra dưỡng trấp",Chế bột. Mỗi ngày uống 10-20g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 139"
