pattern_id,pattern_name_vi,pattern_description,tcm_disease_name,etiology_tcm,affected_meridians_organs,eight_principles,modern_diagnostic_findings,clinical_manifestations,data_source
SP031,Thể phong hàn ở kinh lạc,Thường gặp trong liệt dây thần kinh VII do lạnh,Bệnh dây thần kinh mặt (Khẩu nhãn oa tà),Ngoại nhân (phong hàn),Bệnh tại các kinh dương trên mặt,Biểu thực hàn,"Chẩn đoán liệt dây thần kinh VII ngoại biên dựa trên các dấu hiệu lâm sàng gồm miệng méo về bên lành, lệch nhân trung về bên lành, mất hoặc mờ nếp nhăn trán, mất hoặc mờ rãnh mũi má bên liệt, dấu hiệu Souques dương tính, dấu hiệu Charles Bell dương tính, có thể kèm khô mắt hoặc chảy nước mắt, giảm vị giác hai phần ba trước lưỡi, giảm tiết nước bọt, cảm giác đau vùng sau tai","Sau khi bị lạnh xuất hiện miệng méo, mắt nhắm không kín, khó thổi lửa, huýt sáo, ăn uống nước trào ra bên liệt, nhân trung lệch về bên lành, nếp nhăn trán và rãnh mũi má mờ hoặc mất bên liệt. Toàn thân có biểu hiện sợ gió, sợ lạnh, gai rét, rêu lưỡi trắng mỏng. Mạch phù khẩn.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 59-60
SP032,Thể phong nhiệt,Thường gặp trong liệt dây thần kinh VII do viêm nhiễm,Bệnh dây thần kinh mặt (Khẩu nhãn oa tà),Ngoại nhân (phong nhiệt),Bệnh tại các kinh dương trên mặt,Biểu thực nhiệt.,"Chẩn đoán liệt dây thần kinh VII ngoại biên dựa trên các dấu hiệu lâm sàng gồm miệng méo về bên lành, lệch nhân trung về bên lành, mất hoặc mờ nếp nhăn trán, mất hoặc mờ rãnh mũi má bên liệt, dấu hiệu Souques dương tính, dấu hiệu Charles Bell dương tính, có thể kèm khô mắt hoặc chảy nước mắt, giảm vị giác hai phần ba trước lưỡi, giảm tiết nước bọt, cảm giác đau vùng sau tai","Miệng méo, mắt nhắm không kín, khó thổi lửa, huýt sáo, ăn uống nước trào ra bên liệt, nhân trung lệch về bên lành, nếp nhăn trán và rãnh mũi má mờhoặc mất bên liệt. Toàn thân có biểu hiện sốt, sợ gió, tiểu tiện vàng, đại tiện táo, chất lưỡi đỏ, rêu lưỡi vàng. Mạch phù sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 61
SP033,Thể huyết ứ,"Thường gặp trong liệt dây thần kinh VII do chấn thương như sau ngã, sau phẫu thuật vùng tai, vùng xương chẩm, nhổ răng hoặc khối u.",Bệnh dây thần kinh mặt (Khẩu nhãn oa tà),Bất nội ngoại nhân,Bệnh tại các kinh dương trên mặt,Biểu thực,"Chẩn đoán liệt dây thần kinh VII ngoại biên dựa trên các dấu hiệu lâm sàng gồm miệng méo về bên lành, lệch nhân trung về bên lành, mất hoặc mờ nếp nhăn trán, mất hoặc mờ rãnh mũi má bên liệt, dấu hiệu Souques dương tính, dấu hiệu Charles Bell dương tính, có thể kèm khô mắt hoặc chảy nước mắt, giảm vị giác hai phần ba trước lưỡi, giảm tiết nước bọt, cảm giác đau vùng sau tai","Sau sang chấn xuất hiện miệng méo, mắt nhắm không kín, khó thổi lửa, huýt sáo, ăn uống nước trào ra bên liệt, nhân trung lệch về bên lành, nếp nhăn trán và rãnh mũi má mờ hoặc mất bên liệt. Lưỡi có điểm ứ huyết. Mạch sáp.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 62
SP034,Thể phong hàn,,Đau dây thần kinh liên sườn (Hiếp thống),Ngoại nhân (phong hàn),Kinh thiếu dương,Biểu thực hàn,"Chẩn đoán đau dây thần kinh liên sườn dựa trên biểu hiện đau nhói từng đợt hoặc đau kéo dài dọc theo đường đi của dây thần kinh liên sườn, đau tăng khi ấn vào, ho hoặc hít thở sâu, có thể khu trú một hoặc hai bên, lan theo khoang liên sườn ra phía trước, ấn vùng cạnh sống gây đau tức, trong thể tiên phát các xét nghiệm cho kết quả bình thường, trong các nguyên nhân thứ phát có thể kèm điểm đau chói tại cột sống, biến dạng cột sống hoặc tổn thương da dạng mụn nước phân bố theo khoang liên sườn","Đau liên sườn dọc theo đường đi của dây thần kinh, đau nhất ở vùng rễ sau lưng, đường nách giữa, sau ức đòn, sợ lạnh, rêu lưỡi trắng mỏng. Mạch phù",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 65
SP035,Can khí uất kết,,Đau dây thần kinh liên sườn (Hiếp thống),Bất nội ngoại nhân (nội thương),Can khí uất,Lý thực,"Chẩn đoán đau dây thần kinh liên sườn dựa trên biểu hiện đau nhói từng đợt hoặc đau kéo dài dọc theo đường đi của dây thần kinh liên sườn, đau tăng khi ấn vào, ho hoặc hít thở sâu, có thể khu trú một hoặc hai bên, lan theo khoang liên sườn ra phía trước, ấn vùng cạnh sống gây đau tức, trong thể tiên phát các xét nghiệm cho kết quả bình thường, trong các nguyên nhân thứ phát có thể kèm điểm đau chói tại cột sống, biến dạng cột sống hoặc tổn thương da dạng mụn nước phân bố theo khoang liên sườn","Đau vùng hạ sườn, điểm đau không cố định, thậm chí đau như bó chặt vùng ngực sườn xuyên ra lưng và vai, đau tăng khi tình chí kích động. Tinh thần uất ức hay cáu gắt, cảm giác bí bách trong ngực, hay thở dài, ợ hơi, bụng chướng không muốn ăn. Lưỡi rêu mỏng. Mạch huyền hoặc huyền sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 66
SP036,Can uất hóa hỏa,,Đau dây thần kinh liên sườn (Hiếp thống),Bất nội ngoại nhân (nội thương),Can uất hóa hỏa,Lý thực nhiệt,"Chẩn đoán đau dây thần kinh liên sườn dựa trên biểu hiện đau nhói từng đợt hoặc đau kéo dài dọc theo đường đi của dây thần kinh liên sườn, đau tăng khi ấn vào, ho hoặc hít thở sâu, có thể khu trú một hoặc hai bên, lan theo khoang liên sườn ra phía trước, ấn vùng cạnh sống gây đau tức, trong thể tiên phát các xét nghiệm cho kết quả bình thường, trong các nguyên nhân thứ phát có thể kèm điểm đau chói tại cột sống, biến dạng cột sống hoặc tổn thương da dạng mụn nước phân bố theo khoang liên sườn","Vùng sườn cảm giác nóng rát, đau, tình chí không yên, dễ cáu, đầu đau mặt đỏ, tai ù, tâm phiền mất ngủ, ợ chua, miệng đắng mà khô, đại tiện nóng rát, chất lưỡi đỏ, rêu vàng. Mạch huyền sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 67
SP037,Tà uất thiếu dương,,Đau dây thần kinh liên sườn (Hiếp thống),Ngoại nhân,Kinh thiếu dương,Bán biểu bán lý,"Chẩn đoán đau dây thần kinh liên sườn dựa trên biểu hiện đau nhói từng đợt hoặc đau kéo dài dọc theo đường đi của dây thần kinh liên sườn, đau tăng khi ấn vào, ho hoặc hít thở sâu, có thể khu trú một hoặc hai bên, lan theo khoang liên sườn ra phía trước, ấn vùng cạnh sống gây đau tức, trong thể tiên phát các xét nghiệm cho kết quả bình thường, trong các nguyên nhân thứ phát có thể kèm điểm đau chói tại cột sống, biến dạng cột sống hoặc tổn thương da dạng mụn nước phân bố theo khoang liên sườn","Ngực sườn chướng, đau, hàn nhiệt vãng lai, đau đầu chóng mặt, miệng đắng họng khô, ăn kém, tâm phiền buồn nôn, rêu lưỡi trắng mỏng hoặc vàng mỏng hơi bẩn. Mạch huyền sác",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 68
SP038,Huyết ứ,,Đau dây thần kinh liên sườn (Hiếp thống),Bất nội ngoại nhân,Huyết ứ,Lý thực,"Chẩn đoán đau dây thần kinh liên sườn dựa trên biểu hiện đau nhói từng đợt hoặc đau kéo dài dọc theo đường đi của dây thần kinh liên sườn, đau tăng khi ấn vào, ho hoặc hít thở sâu, có thể khu trú một hoặc hai bên, lan theo khoang liên sườn ra phía trước, ấn vùng cạnh sống gây đau tức, trong thể tiên phát các xét nghiệm cho kết quả bình thường, trong các nguyên nhân thứ phát có thể kèm điểm đau chói tại cột sống, biến dạng cột sống hoặc tổn thương da dạng mụn nước phân bố theo khoang liên sườn","Vùng mạng sườn đau như kim châm, đau cố định, đau tăng về đêm, có thể có vết sang thương, lưỡi tím hoặc có điểm ứ huyết. Mạch trầm sáp hoặc huyền sáp.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 69
SP039,Can đởm thấp nhiệt,,Đau dây thần kinh liên sườn (Hiếp thống),Bất nội ngoại nhân (nội thương),Can đởm thấp nhiệt,Lý thực nhiệt,"Chẩn đoán đau dây thần kinh liên sườn dựa trên biểu hiện đau nhói từng đợt hoặc đau kéo dài dọc theo đường đi của dây thần kinh liên sườn, đau tăng khi ấn vào, ho hoặc hít thở sâu, có thể khu trú một hoặc hai bên, lan theo khoang liên sườn ra phía trước, ấn vùng cạnh sống gây đau tức, trong thể tiên phát các xét nghiệm cho kết quả bình thường, trong các nguyên nhân thứ phát có thể kèm điểm đau chói tại cột sống, biến dạng cột sống hoặc tổn thương da dạng mụn nước phân bố theo khoang liên sườn","Sườn đau miệng đắng, ngực bụng đầy chướng, ăn kém, tiểu tiện ngắn đỏ, lưỡi đỏ, rêu vàng bẩn. Mạch hoạt sác",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 69 - 70
SP040,Thể phong hàn thấp,Thường gặp trong những trường hợp đau thần kinh tọa do lạnh.,Đau thần kinh tọa (Yêu cước thống),Ngoại nhân (Phong hàn thấp),Kinh bàng quang và/hoặc Kinh đởm,Biểu thực hàn,"Đau thần kinh tọa được chẩn đoán dựa trên biểu hiện đau dọc theo đường đi của dây thần kinh tọa, đau lan từ thắt lưng xuống chi dưới theo rễ thần kinh tổn thương, kèm hội chứng cột sống thắt lưng gồm điểm đau cột sống, biến dạng cột sống thắt lưng, co cứng cơ cạnh cột sống, hạn chế cúi gập, nghiệm pháp Schober dương tính, và hội chứng chèn ép rễ thần kinh với đau theo rễ, tê bì hoặc nóng rát, dấu hiệu bấm chuông dương tính, dấu hiệu Lasègue dương tính, hệ thống điểm đau Valleix dương tính, rối loạn phản xạ gân xương và rối loạn cảm giác tương ứng rễ L5 hoặc S1, cận lâm sàng cho thấy bilan viêm âm tính, X quang cột sống thắt lưng có thể bình thường hoặc có dấu hiệu thoái hóa hoặc trượt thân đốt sống, cộng hưởng từ cột sống thắt lưng giúp xác định vị trí và mức độ tổn thương, điện cơ đồ giúp đánh giá rễ thần kinh bị tổn thương","Sau khi bị nhiễm lạnh, đau từ thắt lưng hoặc từ mông xuống chân, đau có điểm khu trú, chưa có teo cơ, đau tăng khi trời lạnh, chườm ấm dễ chịu. Sợ gió, sợ lạnh, đại tiện có thể bình thường hoặc nát, tiểu tiện trong, chất lưỡi nhợt, rêu lưỡi trắng mỏng. Mạch phù hoặc phù khẩn",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 73
SP046,Thể khí hư huyết ứ,"Thường gặp ở người bệnh có bệnh lý tim mạch, xơ vữa động mạch.",Di chứng nhồi máu não (Bán thân bất hoại),Bất nội ngoại nhân (nội thương),"Khí hư, huyết ứ",Lý hư trung hiệp thực,"Di chứng nhồi máu não được chẩn đoán dựa trên triệu chứng lâm sàng có thiếu sót chức năng thần kinh, thường biểu hiện liệt nửa người và các triệu chứng thần kinh khu trú, kết hợp với cận lâm sàng trên phim CT scanner hoặc MRI sọ não có hình ảnh nhồi máu não","Bán thân bất toại (yếu, liệt nửa người), chân tay mình mẩy mềm vô lực, tê bì, nói ngọng, nói khó, miệng méo, sắc mặt không tươi nhuận, lưỡi tím có điểm ứ huyết. Mạch tế sáp hoặc hư nhược.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 83 - 84
SP041,Thể phong hàn thấp kết hợp can thận hư,Thường gặp trong những trường hợp đau thần kinh tọa do thoái hóa cột sống.,Đau thần kinh tọa (Yêu cước thống),Ngoại nhân + Bất nội ngoại nhân (nội thương),Can thận hư (Tỳ hư nếu có teo cơ). Kinh bàng quang và/hoặc Kinh đởm,"Biểu lý tương kiêm, hư trung hiệp thực, thiên hàn","Đau thần kinh tọa được chẩn đoán dựa trên biểu hiện đau dọc theo đường đi của dây thần kinh tọa, đau lan từ thắt lưng xuống chi dưới theo rễ thần kinh tổn thương, kèm hội chứng cột sống thắt lưng gồm điểm đau cột sống, biến dạng cột sống thắt lưng, co cứng cơ cạnh cột sống, hạn chế cúi gập, nghiệm pháp Schober dương tính, và hội chứng chèn ép rễ thần kinh với đau theo rễ, tê bì hoặc nóng rát, dấu hiệu bấm chuông dương tính, dấu hiệu Lasègue dương tính, hệ thống điểm đau Valleix dương tính, rối loạn phản xạ gân xương và rối loạn cảm giác tương ứng rễ L5 hoặc S1, cận lâm sàng cho thấy bilan viêm âm tính, X quang cột sống thắt lưng có thể bình thường hoặc có dấu hiệu thoái hóa hoặc trượt thân đốt sống, cộng hưởng từ cột sống thắt lưng giúp xác định vị trí và mức độ tổn thương, điện cơ đồ giúp đánh giá rễ thần kinh bị tổn thương","Đau vùng thắt lưng lan xuống mông, chân dọc theo đường đi của dây thần kinh tọa, đau có cảm giác tê bì, nặng nề, có thể teo cơ, bệnh kéo dài, dễ tái phát. Kèm theo triệu chứng ăn kém, ngủ ít. Chất lưỡi nhợt bệu, rêu lưỡi trắng dầy và nhớt. Mạch nhu hoãn hoặc trầm nhược.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 74
SP042,Thể thấp nhiệt,Thường gặp trong những trường hợp đau thần kinh tọa do viêm nhiễm.,Đau thần kinh tọa (Yêu cước thống),Ngoại nhân (thấp nhiệt),Kinh bàng quang và/hoặc Kinh đởm,Biểu thực nhiệt,"Đau thần kinh tọa được chẩn đoán dựa trên biểu hiện đau dọc theo đường đi của dây thần kinh tọa, đau lan từ thắt lưng xuống chi dưới theo rễ thần kinh tổn thương, kèm hội chứng cột sống thắt lưng gồm điểm đau cột sống, biến dạng cột sống thắt lưng, co cứng cơ cạnh cột sống, hạn chế cúi gập, nghiệm pháp Schober dương tính, và hội chứng chèn ép rễ thần kinh với đau theo rễ, tê bì hoặc nóng rát, dấu hiệu bấm chuông dương tính, dấu hiệu Lasègue dương tính, hệ thống điểm đau Valleix dương tính, rối loạn phản xạ gân xương và rối loạn cảm giác tương ứng rễ L5 hoặc S1, cận lâm sàng cho thấy bilan viêm âm tính, X quang cột sống thắt lưng có thể bình thường hoặc có dấu hiệu thoái hóa hoặc trượt thân đốt sống, cộng hưởng từ cột sống thắt lưng giúp xác định vị trí và mức độ tổn thương, điện cơ đồ giúp đánh giá rễ thần kinh bị tổn thương","Đau vùng thắt lưng lan xuống mông, chân dọc theo đường đi của dây thần kinh hông to, đau có cảm nóng rát như kim châm. Chân đau nóng hơn chân bên lành, chất lưỡi hồng hoặc đỏ, rêu lưỡi vàng. Mạch hoạt sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 75
SP043,Thể huyết ứ,Thường gặp trong những trường hợp đau thần kinh tọa do chấn thương hoặc do thoát vị đĩa đệm,Đau thần kinh tọa (Yêu cước thống),Bất nội ngoại nhân (huyết ứ),Kinh bàng quang và/hoặc Kinh đởm,Biểu thực,"Đau thần kinh tọa được chẩn đoán dựa trên biểu hiện đau dọc theo đường đi của dây thần kinh tọa, đau lan từ thắt lưng xuống chi dưới theo rễ thần kinh tổn thương, kèm hội chứng cột sống thắt lưng gồm điểm đau cột sống, biến dạng cột sống thắt lưng, co cứng cơ cạnh cột sống, hạn chế cúi gập, nghiệm pháp Schober dương tính, và hội chứng chèn ép rễ thần kinh với đau theo rễ, tê bì hoặc nóng rát, dấu hiệu bấm chuông dương tính, dấu hiệu Lasègue dương tính, hệ thống điểm đau Valleix dương tính, rối loạn phản xạ gân xương và rối loạn cảm giác tương ứng rễ L5 hoặc S1, cận lâm sàng cho thấy bilan viêm âm tính, X quang cột sống thắt lưng có thể bình thường hoặc có dấu hiệu thoái hóa hoặc trượt thân đốt sống, cộng hưởng từ cột sống thắt lưng giúp xác định vị trí và mức độ tổn thương, điện cơ đồ giúp đánh giá rễ thần kinh bị tổn thương","Đau đột ngột, dữ dội tại một điểm, đau lan xuống chân, hạn chế vận động nhiều, chất lưỡi tím, có điểm ứ huyết. Mạch sáp",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 76
SP044,Thể can thận âm hư,"Thường gặp ở người có thể trạng gầy, người cao tuổi, tăng huyết áp và có xơ vữa mạch.",Di chứng nhồi máu não (Bán thân bất hoại),Bất nội ngoại nhân (nội thương),Can thận âm hư,Lý hư nhiệt,"Di chứng nhồi máu não được chẩn đoán dựa trên triệu chứng lâm sàng có thiếu sót chức năng thần kinh, thường biểu hiện liệt nửa người và các triệu chứng thần kinh khu trú, kết hợp với cận lâm sàng trên phim CT scanner hoặc MRI sọ não có hình ảnh nhồi máu não","Bán thân bất toại (yếu, liệt nửa người), chân tay cứng đờ, co quắp, nói ngọng, miệng méo, đau đầu, hoa mắt chóng mặt, ù tai, chất lưỡi đỏ, không rêu hoặc rêu vàng khô. Mạch huyền sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 80
SP045,Thể phong đàm,"Thường gặp ở những người tăng huyết áp, béo phì, cholesterol máu cao.",Di chứng nhồi máu não (Bán thân bất hoại),"Bất nội ngoại nhân (nội thương, đàm thấp hoá hoả sinh phong).",Tỳ hư,Lý hư.,"Di chứng nhồi máu não được chẩn đoán dựa trên triệu chứng lâm sàng có thiếu sót chức năng thần kinh, thường biểu hiện liệt nửa người và các triệu chứng thần kinh khu trú, kết hợp với cận lâm sàng trên phim CT scanner hoặc MRI sọ não có hình ảnh nhồi máu não","Bán thân bất toại (liệt nửa người), chân tay tê dại, nặng nề, khó cửđộng, miệng méo, nói ngọng, nặng đầu, hoa mắt chóng mặt, lưỡi bệu, dính nhớt, rêu trắng dày. Mạch huyền hoạt hoặc phù hoạt.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 82
SP047,Can thận bất túc,"Thường gặp trong bại não thể co cứng, thể phối hợp, thể thất điều",Bại não trẻ em (Ngũ trì),Bất nội ngoại nhân (Tiên thiên bất túc),Can thận bất túc,Lý hư,"Bại não được chẩn đoán xác định khi có rối loạn vận động do tổn thương hệ thần kinh trung ương không tiến triển, khởi phát từ khi sinh đến 5 tuổi, có thể kèm trí tuệ bình thường hoặc chậm phát triển, kết hợp các phương tiện cận lâm sàng hỗ trợ như siêu âm não qua thóp, CT hoặc MRI sọ não phát hiện tổn thương não, điện não đồ cho thấy hoạt động điện não bất thường và chụp X quang phát hiện dị tật cột sống hoặc khớp kèm theo","Gân xương mềm yếu, phát dục chậm, chậm ngồi, đứng, đi, mọc răng… Chân tay cử động chậm chạp, khi đứng chân co rút, bước không thẳng. Mặt, mắt co kéo, nói ngọng, không rõ tiếng, thóp lâu liền, cổ lưng mềm. Đêm ngủ không yên, dễ lên cơn co giật. Lưỡi nhợt, ít rêu. Mạch trầm tế, chỉ văn nhợt.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 89
SP048,Tâm tỳ hư,"Tương đương bại não thể liệt nhẽo, thể thất điều",Bại não trẻ em (Ngũ trì),Bất nội ngoại nhân (Tiên thiên bất túc và hậu thiên bất điều),Tâm tỳ hư,Lý hư,"Bại não được chẩn đoán xác định khi có rối loạn vận động do tổn thương hệ thần kinh trung ương không tiến triển, khởi phát từ khi sinh đến 5 tuổi, có thể kèm trí tuệ bình thường hoặc chậm phát triển, kết hợp các phương tiện cận lâm sàng hỗ trợ như siêu âm não qua thóp, CT hoặc MRI sọ não phát hiện tổn thương não, điện não đồ cho thấy hoạt động điện não bất thường và chụp X quang phát hiện dị tật cột sống hoặc khớp kèm theo","Chậm nói, nói ngọng, tinh thần đần độn, tứ chi mềm yếu, cử động chậm chạp, khó khăn, bước đi không thẳng, cơ nhục nhẽo, tóc mọc chậm, vàng, khô thưa. Miệng chảy dãi, nhai bú vô lực, nuốt thức ăn khó khăn, biếng ăn. Lưỡi nhợt bệu, ít rêu. Mạch tế hoãn, chỉ văn nhạt.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 92
SP049,Đàm ứ trở trệ,Hay gặp ở trẻ bại não do di chứng viêm não-màng não,Bại não trẻ em (Ngũ trì),Bất nội ngoại nhân (Đàm thấp trở trệ kinh lạc),Đàm thấp trở trệ,"Lý, hư trung hiệp thực","Bại não được chẩn đoán xác định khi có rối loạn vận động do tổn thương hệ thần kinh trung ương không tiến triển, khởi phát từ khi sinh đến 5 tuổi, có thể kèm trí tuệ bình thường hoặc chậm phát triển, kết hợp các phương tiện cận lâm sàng hỗ trợ như siêu âm não qua thóp, CT hoặc MRI sọ não phát hiện tổn thương não, điện não đồ cho thấy hoạt động điện não bất thường và chụp X quang phát hiện dị tật cột sống hoặc khớp kèm theo","Thất ngôn, nghe kém, tinh thần mờ tối, phản ứng chậm chạp. Cử động không tự chủ. Nuốt thở khó khăn, họng có tiếng đờm khò khè. Cứng khớp, cơ nhục mềm nhẽo. Có thể có cơn động kinh. Chất lưỡi bệu có điểm ứ huyết, rêu nhớt. Mạch trầm sáp hoặc hoạt, chỉ văn tối trệ.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 93
SP050,Thể âm hư,,Di chứng viêm não do virus (Ôn bệnh),Bất nội ngoại nhân (nội thương),Âm hư/can thận âm hư,Lý hư nhiệt,"Chẩn đoán di chứng viêm não do virus dựa vào tiền sử và bệnh sử đã được chẩn đoán viêm não do virus trước đó, kết hợp các biểu hiện lâm sàng di chứng thần kinh và tâm thần như chậm phát triển tâm thần vận động, giảm vận động nửa người hoặc tứ chi, rối loạn ngôn ngữ, động kinh, rối loạn trương lực cơ, rối loạn cảm xúc và trí nhớ, cùng với các phương tiện cận lâm sàng hỗ trợ gồm xét nghiệm cơ bản, điện não đồ, điện cơ đồ, chụp CT sọ não hoặc MRI sọ não","Đêm nóng, sáng mát, hết sốt hoặc chỉ còn sốt nhẹ mà không có mồhôi. Người gầy, lòng bàn chân tay nóng đỏ. Tinh thần mờ tối, thường nằm yên ít cửđộng, nhận biết kém. Đại tiện táo, nước tiểu vàng. Miệng họng khô, môi lưỡi đỏ, ít rêu hoặc không rêu. Mạch tế sác. Nếu âm huyết hư sinh phong trẻ còn thêm quấy khóc, la hét, vật vã, phiền nhiệt, mất ngủ, chân tay co cứng, xoắn vặn, co giật hoặc run giật.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 97
SP051,Thể khí âm lưỡng hư (khí huyết hư),,Di chứng viêm não do virus (Ôn bệnh),Bất nội ngoại nhân (nội thương),Khí huyết hư,Lý hư,"Chẩn đoán di chứng viêm não do virus dựa vào tiền sử và bệnh sử đã được chẩn đoán viêm não do virus trước đó, kết hợp các biểu hiện lâm sàng di chứng thần kinh và tâm thần như chậm phát triển tâm thần vận động, giảm vận động nửa người hoặc tứ chi, rối loạn ngôn ngữ, động kinh, rối loạn trương lực cơ, rối loạn cảm xúc và trí nhớ, cùng với các phương tiện cận lâm sàng hỗ trợ gồm xét nghiệm cơ bản, điện não đồ, điện cơ đồ, chụp CT sọ não hoặc MRI sọ não","Tinh thần đần độn, không nói (thất vận ngôn), chân tay co cứng hoặc liệt, không ngồi, không đứng, không đi được, sắc mặt lúc trắng lúc đỏ, chất lưỡi nhợt hoặc tím. Mạch tế nhược",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 100
